,median,Q1,Q3,lower fence,upper fence,outliers
372,3.5,2.0,4.75,1.0,6.0,1
373,1.0,1.0,1.0,1.0,1.0,1
374,1.0,1.0,2.0,1.0,2.0,0
375,1.0,1.0,1.0,1.0,1.0,0
376,1.0,1.0,1.0,1.0,1.0,1
377,1.0,1.0,1.0,1.0,1.0,1
378,1.0,1.0,1.0,1.0,1.0,2
379,1.0,1.0,1.0,1.0,1.0,0
380,3.0,1.0,5.5,1.0,7.0,0
381,1.0,1.0,2.0,1.0,3.0,0
382,1.0,1.0,1.5,1.0,2.0,0
383,2.0,1.0,2.0,1.0,3.0,0
384,1.0,1.0,2.0,1.0,2.0,0
385,1.0,1.0,2.0,1.0,2.0,0
386,2.0,1.5,3.0,1.0,4.0,0
387,3.0,2.0,3.0,1.0,4.0,1
388,3.5,2.0,4.5,1.0,6.0,1
389,3.0,2.0,3.75,1.0,4.0,0
390,4.0,3.0,6.0,1.0,10.0,0
391,4.5,3.25,7.5,3.0,9.0,1
392,4.5,3.0,7.25,2.0,9.0,1
393,3.5,3.0,4.75,1.0,7.0,1
394,4.5,3.0,9.25,2.0,11.0,1
395,3.0,2.25,4.0,1.0,4.0,0
396,3.0,2.25,7.5,1.0,13.0,0
397,3.0,1.5,4.0,1.0,4.0,1
398,3.5,1.25,4.0,1.0,4.0,2
399,3.5,2.25,4.75,2.0,6.0,0
400,3.0,2.25,4.5,1.0,5.0,2
401,4.0,3.0,4.0,2.0,5.0,1
402,4.5,2.5,5.75,1.0,6.0,1
403,3.0,2.25,4.5,1.0,5.0,1
404,4.5,3.25,6.75,1.0,12.0,1
405,3.0,2.0,3.0,1.0,3.0,2
406,1.5,1.0,2.0,1.0,2.0,1
407,2.0,1.0,2.0,1.0,3.0,0
408,2.0,1.0,2.5,1.0,3.0,0
409,1.0,1.0,2.0,1.0,3.0,0
410,1.0,1.0,1.25,1.0,1.25,2
411,1.0,1.0,2.0,1.0,3.0,0
412,1.0,1.0,1.25,1.0,1.25,2
413,1.0,1.0,1.0,1.0,1.0,0
414,1.0,1.0,2.0,1.0,2.0,2
415,1.5,1.0,2.0,1.0,2.0,0
416,1.5,1.0,2.0,1.0,2.0,0
417,1.0,1.0,2.0,1.0,2.0,0
418,1.0,1.0,1.0,1.0,1.0,2
419,1.5,1.0,2.0,1.0,3.0,1
420,1.0,1.0,1.75,1.0,2.0,0
421,1.0,1.0,1.75,1.0,2.0,0
422,1.5,1.0,2.0,1.0,2.0,1
423,3.5,3.0,5.5,1.0,6.0,1
424,4.0,2.25,6.0,2.0,9.0,1
425,4.0,2.25,5.0,1.0,6.0,1
426,4.0,3.25,4.0,3.0,5.0,1
427,1.0,1.0,1.75,1.0,2.0,0
428,1.0,1.0,3.0,1.0,3.0,0
429,3.5,2.25,5.0,1.0,9.0,1
430,4.5,3.0,7.25,2.0,8.0,2
431,3.0,2.0,5.75,2.0,8.0,1
432,3.0,3.0,6.25,2.0,7.0,2
433,3.0,2.0,4.0,1.0,7.0,0
435,4.0,2.75,5.5,2.0,5.5,2
436,7.0,3.5,9.5,2.0,12.0,1
437,5.0,2.5,8.0,2.0,11.0,1
438,5.0,5.0,12.0,4.0,13.0,1
439,5.0,2.5,5.5,2.0,6.0,1
440,4.0,2.5,6.0,1.0,7.0,1
441,6.0,3.0,7.5,2.0,8.0,1
442,7.0,5.0,11.5,3.0,15.0,1
443,6.0,5.5,11.0,3.0,13.0,1
444,6.0,3.5,10.5,3.0,18.0,0
445,5.0,4.0,5.75,3.0,8.0,2
446,4.5,3.25,6.0,1.0,7.0,1
447,4.0,3.0,5.75,2.0,6.0,2
448,4.5,3.0,6.5,1.0,7.0,2
449,4.0,3.25,4.0,3.0,5.0,2
450,4.0,4.0,7.75,1.0,10.0,0
451,2.0,1.0,2.0,1.0,2.0,0
452,1.0,1.0,1.5,1.0,2.0,0
453,1.0,1.0,2.0,1.0,2.0,0
454,2.0,1.5,2.0,1.0,2.0,1
455,1.0,1.0,2.0,1.0,2.0,0
456,1.0,1.0,1.5,1.0,2.0,0
457,1.0,1.0,2.0,1.0,2.0,0
458,2.0,1.5,2.5,1.0,3.0,1
459,4.5,3.0,6.5,2.0,8.0,1
460,4.0,3.5,6.5,2.0,7.0,1
461,2.0,2.0,3.5,1.0,4.0,1
462,4.0,3.0,4.0,3.0,4.0,1
463,3.0,2.0,3.0,1.0,4.0,0
464,7.0,5.0,8.0,3.0,8.0,1
465,2.5,2.0,3.0,1.0,4.0,0
466,2.0,1.0,2.0,1.0,2.0,1
467,2.0,2.0,2.75,1.0,3.0,1
468,4.0,2.0,4.25,1.0,5.0,1
470,6.0,2.75,7.0,2.0,7.0,2
471,4.0,4.0,6.5,1.0,7.0,2
472,6.0,5.25,7.0,5.0,7.0,4
473,5.0,3.25,9.0,1.0,15.0,0
980,,,,,,0
981,,,,,,0
982,,,,,,0
983,,,,,,0
993,,,,,,0
994,,,,,,0
995,,,,,,0
996,,,,,,0
997,,,,,,0
998,,,,,,0
999,,,,,,0
1000,,,,,,0
1001,,,,,,0
1002,,,,,,0
1003,,,,,,0
1004,,,,,,0
1005,,,,,,0
1030,,,,,,0
1031,,,,,,0
1032,,,,,,0
1033,,,,,,0
1034,,,,,,0
1035,,,,,,0
1036,,,,,,0
1037,,,,,,0
1038,,,,,,0
1039,,,,,,0
1040,,,,,,0
1041,,,,,,0
1042,,,,,,0
1043,,,,,,0
1044,,,,,,0
1045,,,,,,0
1046,,,,,,0
1047,,,,,,0
1048,,,,,,0
1049,,,,,,0
1072,,,,,,0
1073,,,,,,0
1074,,,,,,0
1075,,,,,,0
1076,,,,,,0
1077,,,,,,0
1078,,,,,,0
1079,,,,,,0
1080,,,,,,0
1081,,,,,,0
1082,,,,,,0
1083,,,,,,0
