,median,Q1,Q3,lower fence,upper fence,outliers
843,2.0,1.0,2.0,0.5,2.0,1
844,1.5,1.0,2.0,1.0,3.0,0
845,1.5,1.0,2.0,1.0,2.0,2
846,0.5,0.5,1.0,0.5,1.0,2
869,1.0,0.5,1.0,0.5,1.0,0
870,,,,,,0
871,1.0,0.5,1.0,0.5,1.0,0
872,1.0,0.75,1.0,0.5,1.0,0
873,0.5,0.5,0.75,0.5,1.0,0
874,0.5,0.5,1.0,0.5,1.0,0
875,1.0,0.75,1.0,0.5,1.0,0
876,0.5,0.5,0.5,0.5,0.5,3
877,0.5,0.5,0.5,0.5,0.5,1
878,0.75,0.5,1.0,0.25,1.0,0
879,1.0,0.5,1.0,0.5,1.0,0
880,1.0,0.75,1.0,0.5,1.0,0
881,0.875,0.5,1.0,0.25,1.0,0
882,0.5,0.5,0.5,0.5,0.5,2
883,1.0,0.5,1.0,0.5,1.0,1
886,1.0,1.0,1.0625,1.0,1.0625,3
887,1.0,0.875,1.0,0.875,1.0,3
888,1.0,0.75,2.0,0.5,3.0,0
889,1.0,0.875,1.0,0.875,1.0,3
890,1.0,0.5,1.0,0.5,1.5,1
891,1.0,0.6875,1.0,0.5,1.0,1
892,1.0,0.5,1.0,0.5,1.0,1
893,0.75,0.5,1.0,0.5,1.0,0
894,0.75,0.5,1.0,0.5,1.0,0
895,0.625,0.5,1.0,0.25,1.0,0
896,0.5,0.5,0.5,0.5,0.5,1
897,0.5,0.5,0.875,0.25,1.0,0
898,1.0,1.0,1.0,1.0,1.0,1
899,0.5,0.5,1.0,0.5,1.0,0
900,0.5,0.5,1.0,0.5,1.0,0
901,0.5,0.5,0.625,0.5,0.625,2
902,1.0,0.75,1.0,0.5,1.0,1
903,1.0,0.625,1.0,0.5,1.0,0
904,1.0,1.0,1.5,0.5,2.0,2
906,1.0,0.625,1.4375,0.25,1.75,1
907,1.0,0.625,1.0,0.5,1.0,1
908,1.0,0.625,1.0,0.5,1.5,1
909,1.0,0.5,1.375,0.25,1.5,2
910,1.0,0.5,1.0,0.5,1.5,1
911,1.0,0.8125,1.0,0.75,1.0,2
912,1.0,0.5,1.0,0.5,1.0,0
913,1.0,0.625,1.0,0.5,1.0,2
915,1.0,1.0,2.25,0.5,2.5,1
916,1.25,1.0,1.5,0.5,1.5,1
917,1.0,1.0,1.25,1.0,1.5,2
918,1.25,1.0,1.5,0.5,2.0,0
919,1.0,1.0,1.0,1.0,1.0,2
920,1.0,1.0,1.5,0.5,2.0,0
921,1.0,1.0,2.6875,0.5,4.75,1
922,1.0,1.0,1.5,0.5,2.0,0
923,1.0,0.5,1.0,0.5,1.0,1
924,1.0,0.5,1.0,0.5,1.0,0
925,1.0,1.0,1.0,1.0,1.0,2
926,1.0,1.0,1.0,1.0,1.0,2
927,2.0,1.125,2.0,1.0,2.0,1
928,2.0,1.25,2.75,1.0,5.0,0
929,2.0,1.25,2.0,1.0,3.0,1
930,2.0,1.0,2.0,1.0,3.0,0
931,2.0,1.25,2.0,1.0,2.0,1
932,2.0,1.125,2.0,1.0,2.0,2
933,1.0,1.0,1.0,1.0,1.0,1
934,1.0,0.75,1.0,0.5,1.0,1
935,0.5,0.5,0.625,0.5,0.625,2
936,1.0,0.75,1.0,0.5,1.0,1
937,1.0,1.0,1.0,1.0,1.0,0
938,1.0,1.0,1.0,1.0,1.0,0
939,1.0,1.0,1.0,1.0,1.0,0
940,1.0,1.0,1.0,1.0,1.0,2
941,1.0,1.0,1.0,1.0,1.0,0
942,1.0,0.875,1.0,0.875,1.0,2
943,2.0,1.0,2.0,1.0,2.0,0
945,1.0,1.0,1.0,1.0,1.0,2
946,1.0,0.5,1.0,0.5,1.0,2
947,1.25,1.0,2.625,0.5,3.0,1
948,1.0,0.6875,1.0,0.5,1.0,1
949,1.125,1.0,1.75,0.5,2.5,1
950,1.0,0.625,1.375,0.5,2.0,1
951,1.0,1.0,1.0,1.0,1.0,1
952,1.0,1.0,2.25,0.5,2.5,0
953,1.0,0.875,1.0,0.875,1.0,2
954,1.0,1.0,1.125,1.0,1.125,3
955,1.25,1.0,1.875,0.5,3.0,0
956,1.0,1.0,1.0,1.0,1.0,3
957,0.5,0.5,1.0,0.5,1.0,0
958,0.5,0.25,0.5,0.25,0.5,1
959,0.5,0.5,1.0,0.5,1.0,0
960,0.5,0.5,0.5,0.5,0.5,4
961,0.5,0.5,0.75,0.25,1.0,0
962,0.5,0.5,0.625,0.5,0.75,5
963,0.5,0.5,0.5,0.5,0.5,6
964,0.5,0.5,0.5,0.5,0.5,2
965,0.5,0.4375,0.5,0.4375,0.5,2
966,0.5,0.5,0.9375,0.25,1.0,0
967,0.5,0.25,0.5,0.25,0.75,1
968,0.5,0.5,1.0,0.25,1.5,0
969,0.5,0.25,0.625,0.25,1.0,0
970,1.5,0.5,2.0,0.5,4.0,0
971,1.0,1.0,1.0,1.0,1.0,2
972,1.0,0.5625,1.0,0.25,1.0,0
973,1.0,0.8125,1.0,0.75,1.0,2
974,1.0,0.625,1.0,0.5,1.0,0
978,0.75,0.5,1.0,0.5,1.0,2
985,1.0,1.0,1.0,1.0,1.0,1
986,1.0,0.5,1.125,0.5,1.5,0
987,1.0,1.0,1.0,1.0,1.0,2
988,1.0,0.5,1.25,0.5,2.0,0
989,1.0,1.0,1.0,1.0,1.0,1
990,1.0,1.0,1.5,0.5,2.0,0
991,1.0,1.0,1.0,1.0,1.0,2
1007,1.0,1.0,1.0,1.0,1.0,1
1008,0.5,0.5,1.0,0.5,1.0,1
1009,1.0,0.5,1.0,0.5,1.0,0
1010,0.5,0.5,1.0,0.5,1.5,1
1011,0.75,0.5,1.0,0.5,1.0,0
1012,0.5,0.5,0.875,0.5,1.0,2
1013,1.0,0.75,1.0,0.5,1.0,1
1014,0.5,0.5,1.0,0.5,1.5,0
1015,0.5,0.5,1.0,0.5,1.0,0
1016,1.0,0.875,1.0,0.875,1.0,3
1017,1.0,0.5,1.0,0.5,1.0,0
1018,0.5,0.5,0.75,0.5,1.0,1
1019,0.5,0.5,0.75,0.5,1.0,0
1020,1.0,1.0,1.0,1.0,1.0,1
1021,0.75,0.5,1.0,0.5,1.0,0
1022,0.5,0.5,0.75,0.5,1.0,1
1023,0.5,0.5,0.5,0.5,0.5,0
1024,0.75,0.5,1.125,0.5,2.0,0
1025,1.0,0.5,1.0,0.5,1.5,0
1026,1.0,0.5,1.0,0.5,1.0,0
1027,1.0,0.875,1.25,0.5,1.25,2
1051,1.0,0.625,1.0,0.5,1.0,0
1052,1.0,0.5,1.0,0.5,1.0,0
1053,1.0,0.625,1.0,0.5,1.0,0
1054,1.0,1.0,1.0,1.0,1.0,2
1055,1.0,0.5,1.0,0.5,1.0,0
1056,1.0,0.5,1.0,0.5,1.0,0
1057,1.0,0.625,1.0,0.5,1.0,0
1058,1.0,0.625,1.0,0.5,1.0,0
1059,1.0,0.625,1.0,0.5,1.0,0
1060,1.0,1.0,1.0,1.0,1.0,2
1061,1.0,1.0,1.0,1.0,1.0,0
1062,1.0,1.0,1.5,1.0,2.0,0
1063,1.0,0.875,1.0,0.875,1.0,2
1064,1.0,1.0,1.5,1.0,2.0,0
1065,1.0,1.0,1.0,1.0,1.0,1
1066,1.0,1.0,1.125,1.0,1.125,3
1067,1.0,1.0,1.0,1.0,1.0,1
1068,1.0,1.0,1.0,1.0,1.0,1
1069,1.0,1.0,2.0,1.0,2.0,0
Avg,1.0,0.75,1.5,0.25,2.5,429
